WKT,HANDLE,PARCEL,PARCELID
"POLYGON ((-90.226099794573784 38.63950953868234,-90.226133610554612 38.639411464515454,-90.226132765630012 38.639411285306174,-90.226212893458381 38.639178894957119,-90.226269773741009 38.639190959307534,-90.226155830168764 38.639521423876111,-90.226099794573784 38.63950953868234))",11045000060,60,10450000600
"POLYGON ((-90.225928510980054 38.639473209100686,-90.225958370453441 38.639386610330554,-90.225959215377316 38.639386789541099,-90.226001559589122 38.639263982025675,-90.226061549222408 38.639276705973117,-90.226023921187533 38.639385835832428,-90.226022501711697 38.639385534757288,-90.225987926225372 38.639485811220517,-90.225928510980054 38.639473209100686))",11045000090,90,10450000900
"POLYGON ((-90.225869095755726 38.639460606950735,-90.225898955295222 38.63937400819583,-90.225900070597845 38.639374244754869,-90.22594241489945 38.639251437260938,-90.226001559589122 38.639263982025675,-90.225959215377316 38.639386789541099,-90.225958370453441 38.639386610330554,-90.225928510980054 38.639473209100686,-90.225869095755726 38.639460606950735))",11045000100,100,10450001000
"POLYGON ((-90.225883304027462 38.639238899633142,-90.22594241489945 38.639251437260938,-90.225900070597845 38.639374244754869,-90.225898955295222 38.63937400819583,-90.225869095755726 38.639460606950735,-90.225809680552388 38.639448004770664,-90.225839540157978 38.639361406030979,-90.225840959632578 38.639361707105593,-90.225883304027462 38.639238899633142))",11045000110,110,10450001100
"POLYGON ((-90.225805571069174 38.639222412142836,-90.225847312219997 38.639101354148998,-90.226157398873696 38.639167124483137,-90.226115658201635 38.639288182588068,-90.225805571069174 38.639222412142836))",11045000130,130,10450001300
"POLYGON ((-90.210920724978962 38.655756973979791,-90.210777604103185 38.656161202201901,-90.210716742738398 38.656148477480144,-90.210689888021676 38.656142864015841,-90.210831852222427 38.655738138761542,-90.210878527911817 38.655748030117522,-90.210920724978962 38.655756973979791))",11073000150,150,10730001500
"POLYGON ((-90.198322834677384 38.646930797834088,-90.198179431166693 38.646643076112916,-90.198261083409918 38.64661833274274,-90.198404487199198 38.646906054366227,-90.198322834677384 38.646930797834088))",11110030050,50,11100300500
"POLYGON ((-90.19780560658107 38.647480505577434,-90.197724271352854 38.647505884862113,-90.197579206434426 38.647218589362751,-90.197660551093733 38.64719322931343,-90.19780560658107 38.647480505577434))",11111000040,40,11110000400
"POLYGON ((-90.197478494313245 38.64720559264066,-90.197397149576588 38.647230952563014,-90.197252125334927 38.646943733199926,-90.197333469796561 38.646918373376003,-90.197478494313245 38.64720559264066))",11111000080,80,11110000800
"POLYGON ((-90.198351495522147 38.647935790886926,-90.198231138635421 38.647973779666152,-90.198085737170047 38.647679969356396,-90.198200375680031 38.647643640939179,-90.198351495522147 38.647935790886926))",11112000160,160,11120001600
"POLYGON ((-90.198351495522147 38.647935790886926,-90.198200375680031 38.647643640939179,-90.198269840194314 38.647621661071746,-90.198420413082701 38.647914037428848,-90.198351495522147 38.647935790886926))",11112000170,170,11120001700
"POLYGON ((-90.196901815036796 38.648558345242456,-90.196844687015712 38.648444660253737,-90.196968480108637 38.648406404476297,-90.197025608299299 38.64852008940602,-90.196901815036796 38.648558345242456))",11113000050,50,11130000500
"POLYGON ((-90.196826225732551 38.648782402611324,-90.196681801162072 38.648494996604505,-90.196763244115473 38.648469828459014,-90.196907668962183 38.6487572343677,-90.196826225732551 38.648782402611324))",11113000090,90,11130000900
"POLYGON ((-90.197442990475921 38.649479267300158,-90.197283544898454 38.649528200515611,-90.197143510167024 38.649251458073962,-90.197303369083428 38.64920319612856,-90.197442990475921 38.649479267300158))",11114000050,50,11140000500
"POLYGON ((-90.197213910551397 38.649185708279333,-90.197049458672879 38.64923535584623,-90.196908007784771 38.648945222982391,-90.19707206910094 38.648895058359471,-90.197213910551397 38.649185708279333))",11114000100,100,11140001000
"POLYGON ((-90.197292611063702 38.649161948914099,-90.197213910551397 38.649185708279333,-90.19707206910094 38.648895058359471,-90.197150788157771 38.648870988845232,-90.197250265076875 38.649075072776164,-90.197292611063702 38.649161948914099))",11114000110,110,11140001100
"POLYGON ((-90.197374228568862 38.649137307386127,-90.197292611063702 38.649161948914099,-90.197250265076875 38.649075072776164,-90.197332937844223 38.649052597816791,-90.197374228568862 38.649137307386127))",11114000130,130,11140001300
"POLYGON ((-90.198882739086457 38.649703217506755,-90.198976268461152 38.64988662689462,-90.198752645731673 38.649956268199098,-90.198652764313366 38.649773830748828,-90.198882739086457 38.649703217506755))",11116000020,20,11160000200
"POLYGON ((-90.198752645731673 38.649956268199098,-90.198515125550955 38.650029011731277,-90.198513726126194 38.650026218238622,-90.198422687395166 38.649844478970103,-90.198652764313366 38.649773830748828,-90.198752645731673 38.649956268199098))",11116000030,30,11160000300
"POLYGON ((-90.198882739086457 38.649703217506755,-90.198652764313366 38.649773830748828,-90.198422687395166 38.649844478970103,-90.198363002208183 38.649725323811232,-90.198822155384434 38.649584408990819,-90.198882739086457 38.649703217506755))",11116000050,50,11160000500
"POLYGON ((-90.198822155384434 38.649584408990819,-90.198363002208183 38.649725323811232,-90.198345941876525 38.64969126847118,-90.198804804121949 38.649550380424103,-90.198822155384434 38.649584408990819))",11116000060,60,11160000600
"POLYGON ((-90.198804804121949 38.649550380424103,-90.198345941876525 38.64969126847118,-90.198327516866286 38.649654491117744,-90.198786213001469 38.649513921241201,-90.198804804121949 38.649550380424103))",11116000070,70,11160000700
"POLYGON ((-90.198786213001469 38.649513921241201,-90.198327516866286 38.649654491117744,-90.198305720133192 38.649610974739723,-90.198380527169277 38.649587998141662,-90.198469442840761 38.649560691957824,-90.19858217912595 38.649526068980435,-90.198674551691667 38.649497700664853,-90.198763943977141 38.649470247208022,-90.198786213001469 38.649513921241201))",11116000080,80,11160000800
"POLYGON ((-90.198551347831753 38.650561291372469,-90.198093580813136 38.650698857602194,-90.198063681801926 38.650637267178944,-90.198174853869688 38.650603858431865,-90.198521448484158 38.650499701063332,-90.198551347831753 38.650561291372469))",11118000010,10,11180000100
"POLYGON ((-90.199303954791915 38.650556825289918,-90.199357152602403 38.650667030686037,-90.199354445005753 38.650669731195435,-90.199184322989353 38.650719976718356,-90.199120976110251 38.650608451707221,-90.199303954791915 38.650556825289918))",11119000055,55,11190000550
"POLYGON ((-90.199303954791915 38.650556825289918,-90.199120976110251 38.650608451707221,-90.198844844202299 38.650686332710144,-90.198816188149422 38.650629211811371,-90.199278466870496 38.650504015560571,-90.199303954791915 38.650556825289918))",11119000070,70,11190000700
